name,salary_from,salary_to,salary_currency,area_name,published_at
Администратор медицинской клиники,3500.0,,RUR,Москва,2022-12-25T01:50:29+0300
Продавец-консультант,1000.0,,BYR,Минск,2022-12-25T02:52:49+0300
Управляющий кофейней,80000.0,100000.0,RUR,Москва,2022-12-25T00:21:07+0300
Фармацевт,3500.0,,RUR,Москва,2022-12-25T02:05:37+0300
Водитель,60000.0,,RUR,Мурманск,2022-12-25T01:20:10+0300
Аранжировщик / Звукорежиссер в студию звукозаписи,60000.0,150000.0,RUR,Москва,2022-12-25T05:15:29+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Усть-Илимск,2022-12-25T04:35:14+0300
Администратор салона красоты с графиком 2/2,40000.0,,RUR,Москва,2022-12-25T00:33:25+0300
Тестировщик видео,20000.0,25000.0,RUR,Казань,2022-12-25T00:33:43+0300
Официант,60000.0,70000.0,RUR,Москва,2022-12-25T01:53:23+0300
Руководитель молодежного клуба,40000.0,,RUR,Санкт-Петербург,2022-12-25T03:28:55+0300
Начинающий рекрутер // ассистент HR-менеджера,20000.0,60000.0,RUR,Москва,2022-12-25T00:26:18+0300
Грузчик (разъездной),35000.0,,RUR,Красноярск,2022-12-25T05:51:44+0300
Продавец-консультант по продажам сотовых телефонов,4000000.0,,UZS,Ташкент,2022-12-25T00:21:07+0300
Специалист по продаже японских автомобильных масел,120000.0,,RUR,Владивосток,2022-12-25T03:14:01+0300
Заведующий структурным подразделением,40000.0,,RUR,Санкт-Петербург,2022-12-25T03:30:30+0300
Охранник (Селезнева-Ялтинская),32000.0,35000.0,RUR,Краснодар,2022-12-25T00:10:37+0300
Вечерний Оператор 1С,,20000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
Мастер маникюра,40000.0,50000.0,RUR,Екатеринбург,2022-12-25T05:24:59+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Братск,2022-12-25T04:35:14+0300
Тестировщик видео,20000.0,25000.0,RUR,Нижний Новгород,2022-12-25T00:33:43+0300
Кладовщик,,257279.0,RUR,Улан-Удэ,2022-12-25T02:05:19+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Барнаул,2022-12-25T04:35:14+0300
Монтажник,100000.0,,RUR,Михайловка (Иркутская область),2022-12-25T04:35:31+0300
Монтажник,100000.0,,RUR,Октябрьский (Иркутская область),2022-12-25T04:35:31+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Новосибирск,2022-12-25T04:35:14+0300
Главный бухгалтер,7000000.0,,UZS,Ташкент,2022-12-25T00:14:50+0300
Аппаратчик приготовления эмульсии,140000.0,,RUR,Чита,2022-12-25T05:35:57+0300
Монтажник,100000.0,,RUR,Тайтурка,2022-12-25T04:35:30+0300
Повар в бургерную,58000.0,74000.0,RUR,Москва,2022-12-25T00:04:47+0300
Администратор ветеринарной клиники,37500.0,50000.0,RUR,Санкт-Петербург,2022-12-25T05:59:43+0300
Специалист по работе с детьми,30000.0,,RUR,Санкт-Петербург,2022-12-25T01:24:51+0300
Менеджер по работе с клиентами на ПВЗ,35000.0,60000.0,RUR,Петропавловск-Камчатский,2022-12-25T04:00:43+0300
Специалист по работе с клиентами,27000.0,,RUR,Гатчина,2022-12-25T01:46:04+0300
